frame_index,sequence_group,image_path,actual_steering_angle,predicted_steering_angle,error,absolute_error,lane_change_detected
3,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_41_833.jpg,0.25,0.1927357316017151,-0.05726426839828491,0.05726426839828491,0
4,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_41_905.jpg,0.45,0.34689080715179443,-0.10310919284820558,0.10310919284820558,0
5,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_41_975.jpg,0.6000001,0.5559238791465759,-0.04407622085342411,0.04407622085342411,0
6,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_044.jpg,0.8000001,0.6040342450141907,-0.19596585498580932,0.19596585498580932,0
7,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_112.jpg,0.9500002,0.7458006739616394,-0.20419952603836056,0.20419952603836056,1
8,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_182.jpg,0.0,0.5689747929573059,0.5689747929573059,0.5689747929573059,1
9,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_250.jpg,0.15,0.5104458928108215,0.3604458928108215,0.3604458928108215,1
10,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_321.jpg,0.35,0.49099376797676086,0.1409937679767609,0.1409937679767609,1
11,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_391.jpg,0.5000001,0.6584744453430176,0.15847434534301763,0.15847434534301763,1
12,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_460.jpg,0.7,0.770145833492279,0.0701458334922791,0.0701458334922791,1
13,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_528.jpg,0.8500001,0.695969820022583,-0.15403027997741703,0.15403027997741703,1
14,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_599.jpg,1.0,0.7855121493339539,-0.21448785066604614,0.21448785066604614,1
15,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_665.jpg,1.0,0.751641571521759,-0.24835842847824097,0.24835842847824097,1
16,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_734.jpg,1.0,0.6107180714607239,-0.3892819285392761,0.3892819285392761,1
17,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_803.jpg,0.0,0.5575107336044312,0.5575107336044312,0.5575107336044312,1
18,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_873.jpg,-0.1,0.4661749303340912,0.5661749303340912,0.5661749303340912,1
19,jungle_test_contiguous,complete_dataset/self_driving_car_dataset_jungle/IMG/center_2022_04_10_12_44_42_942.jpg,-0.3,0.3604755997657776,0.6604755997657776,0.6604755997657776,0
